Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2016-02-22 00:00:00;0.00;-960.00;-6186.00;13.00;-1228.00;10637.00;12189.00;0;
2016-02-22 08:00:00;0.00;-946.00;-2935.00;723.00;-375.00;242790.00;228661.00;0;
2016-02-22 16:00:00;0.00;-960.00;-3323.00;0.00;-1440.00;622.00;2687.00;0;
2016-02-23 00:00:00;0.00;-960.00;-5063.00;119.00;-1192.00;43445.00;46460.00;0;
2016-02-23 08:00:00;0.00;-879.00;4397.00;1504.00;-478.00;379872.00;376279.00;0;
2016-02-23 16:00:00;0.00;-960.00;-3610.00;0.00;-1440.00;576.00;2933.00;0;
2016-02-24 00:00:00;0.00;-960.00;-4683.00;263.00;-1118.00;66431.00;60698.00;0;
2016-02-24 08:00:00;0.00;-744.00;21059.00;9822.00;112340.00;786661.00;607338.00;0;
2016-02-24 16:00:00;0.00;-960.00;-6527.00;0.00;-1440.00;3351.00;3202.00;0;
2016-02-25 00:00:00;0.00;-959.00;-7436.00;702.00;1823.00;53583.00;55240.00;0;
2016-02-25 08:00:00;0.00;-924.00;1965.00;5485.00;97259.00;309226.00;319510.00;0;
2016-02-25 16:00:00;0.00;-960.00;-5503.00;0.00;-1440.00;3100.00;2396.00;0;
2016-02-26 00:00:00;0.00;-960.00;-8833.00;114.00;-9.00;23899.00;25526.00;0;
2016-02-26 08:00:00;0.00;-869.00;22976.00;13216.00;212124.00;1019058.00;624196.00;0;
2016-02-26 16:00:00;0.00;-960.00;-4115.00;0.00;-1417.00;1610.00;2496.00;0;
2016-02-27 00:00:00;0.00;-952.00;1024.00;942.00;84375.00;317319.00;82743.00;0;
2016-02-27 08:00:00;0.00;-862.00;29773.00;7621.00;259193.00;925534.00;801790.00;0;
2016-02-27 16:00:00;0.00;-960.00;-4381.00;0.00;-1440.00;1689.00;2701.00;0;
2016-02-28 00:00:00;0.00;-952.00;-1655.00;1213.00;48040.00;177775.00;103621.00;0;
2016-02-28 08:00:00;0.00;-867.00;16293.00;11294.00;273881.00;738632.00;525070.00;0;
2016-02-28 16:00:00;0.00;-960.00;-3598.00;0.00;-1440.00;1031.00;2544.00;0;
2016-02-29 00:00:00;0.00;-942.00;-1125.00;2295.00;62925.00;191937.00;88676.00;0;
2016-02-29 08:00:00;0.00;-511.00;100840.00;42350.00;1396236.00;4509058.00;1636709.00;0;
2016-02-29 16:00:00;0.00;-960.00;-5012.00;0.00;-1440.00;2451.00;2564.00;0;
2016-03-01 00:00:00;0.00;-959.00;-5247.00;1416.00;30735.00;80013.00;79325.00;0;
2016-03-01 08:00:00;0.00;-827.00;33074.00;12735.00;389686.00;927786.00;1015143.00;0;
2016-03-01 16:00:00;0.00;-960.00;-5215.00;0.00;-1419.00;2419.00;2796.00;0;
2016-03-02 00:00:00;0.00;-927.00;248.00;2274.00;105846.00;311557.00;99690.00;0;
2016-03-02 08:00:00;0.00;-440.00;108856.00;50729.00;1525499.00;4821082.00;1592579.00;0;
2016-03-02 16:00:00;0.00;-960.00;-5108.00;0.00;-990.00;3273.00;1853.00;0;
2016-03-03 00:00:00;0.00;-957.00;-7955.00;817.00;16423.00;44142.00;45851.00;0;
2016-03-03 08:00:00;0.00;-820.00;35582.00;6176.00;167840.00;347058.00;329378.00;0;
2016-03-03 16:00:00;0.00;-960.00;-5524.00;0.00;-1035.00;3069.00;2491.00;0;
2016-03-04 00:00:00;0.00;-950.00;-7477.00;1017.00;22423.00;54046.00;56643.00;0;
2016-03-04 08:00:00;0.00;-746.00;8702.00;7428.00;192780.00;425015.00;439949.00;0;
2016-03-04 16:00:00;0.00;-960.00;-5329.00;0.00;-1017.00;3209.00;2170.00;0;
2016-03-05 00:00:00;0.00;-960.00;-9181.00;432.00;6188.00;23087.00;24459.00;0;
2016-03-05 08:00:00;0.00;-958.00;-4901.00;3869.00;87537.00;204967.00;224460.00;0;
2016-03-05 16:00:00;0.00;-960.00;-6310.00;0.00;-960.00;3404.00;2884.00;0;
2016-03-06 00:00:00;0.00;-960.00;-6452.00;818.00;4861.00;78578.00;86659.00;0;
2016-03-06 08:00:00;0.00;-898.00;4085.00;6241.00;144336.00;346990.00;372722.00;0;
2016-03-06 16:00:00;0.00;-960.00;-5499.00;0.00;-960.00;3426.00;2113.00;0;
2016-03-07 00:00:00;0.00;-949.00;-8446.00;806.00;14682.00;43925.00;46176.00;0;
2016-03-07 08:00:00;0.00;-958.00;-7325.00;3227.00;80718.00;170141.00;184228.00;0;
2016-03-07 16:00:00;0.00;-963.00;-6030.00;0.00;-1417.00;2897.00;3117.00;0;
2016-03-08 00:00:00;0.00;-872.00;-4637.00;1969.00;20973.00;93127.00;94793.00;0;
2016-03-08 08:00:00;0.00;-634.00;-210.00;5000.00;145486.00;267626.00;274657.00;0;
2016-03-08 16:00:00;0.00;-960.00;-6608.00;0.00;-1431.00;3341.00;3277.00;0;
2016-03-09 00:00:00;0.00;-913.00;-7736.00;1224.00;15196.00;70095.00;63652.00;0;
2016-03-09 08:00:00;0.00;-545.00;3127.00;5911.00;120277.00;334886.00;333704.00;0;
2016-03-09 16:00:00;0.00;-960.00;-6846.00;0.00;-959.00;3243.00;3619.00;0;
2016-03-10 00:00:00;0.00;-767.00;-5920.00;1633.00;33663.00;86385.00;84667.00;0;
2016-03-10 08:00:00;0.00;-293.00;9078.00;7121.00;186079.00;406369.00;382534.00;0;
2016-03-10 16:00:00;0.00;-960.00;-6097.00;0.00;-980.00;3286.00;2852.00;0;
2016-03-11 00:00:00;0.00;-740.00;-6311.00;1582.00;40137.00;80151.00;76828.00;0;
2016-03-11 08:00:00;0.00;-136.00;14027.00;8033.00;233573.00;438492.00;435440.00;0;
2016-03-11 16:00:00;0.00;-960.00;-6770.00;0.00;-930.00;3018.00;3713.00;0;
2016-03-12 00:00:00;0.00;-686.00;-2667.00;2659.00;68530.00;156192.00;114555.00;0;
2016-03-12 08:00:00;0.00;-323.00;128692.00;68809.00;1547492.00;4723643.00;2176232.00;0;
2016-03-12 16:00:00;0.00;-960.00;-5597.00;0.00;-972.00;2524.00;3030.00;0;
2016-03-13 00:00:00;0.00;-678.00;8208.00;5050.00;330713.00;761342.00;101034.00;0;
2016-03-13 08:00:00;0.00;3333.00;133773.00;68028.00;1567607.00;4844685.00;2198596.00;0;
2016-03-13 16:00:00;0.00;-707.00;-4457.00;0.00;-936.00;1347.00;3075.00;0;
2016-03-14 00:00:00;0.00;-489.00;-2865.00;1321.00;10213.00;99020.00;107979.00;0;
2016-03-14 08:00:00;0.00;-106.00;10039.00;6754.00;152658.00;365605.00;394341.00;0;
2016-03-14 16:00:00;0.00;-672.00;-2984.00;0.00;-943.00;1073.00;1926.00;0;
2016-03-15 00:00:00;0.00;-428.00;7911.00;5092.00;274275.00;478139.00;157184.00;0;
2016-03-15 08:00:00;0.00;6530.00;91511.00;42390.00;994463.00;2916605.00;1561196.00;0;
2016-03-15 16:00:00;0.00;-955.00;-5466.00;1.00;-1383.00;2178.00;3844.00;0;
2016-03-16 00:00:00;0.00;3847.00;13885.00;8386.00;432631.00;883213.00;112723.00;0;
2016-03-16 08:00:00;0.00;69522.00;183902.00;74289.00;1645000.00;4916727.00;2304935.00;0;
2016-03-16 16:00:00;0.00;-916.00;-5272.00;0.00;-1359.00;1811.00;3400.00;0;
2016-03-17 00:00:00;0.00;73846.00;20306.00;8063.00;262482.00;594611.00;129318.00;0;
2016-03-17 08:00:00;56.00;267800.00;173335.00;27749.00;622859.00;1767757.00;856727.00;0;
2016-03-17 16:00:00;0.00;-684.00;-4374.00;0.00;-971.00;1446.00;2944.00;0;
2016-03-18 00:00:00;32.00;93329.00;119284.00;12688.00;524621.00;961267.00;99997.00;0;
2016-03-18 08:00:00;740.00;574310.00;876240.00;62662.00;1830947.00;5195509.00;2591661.00;0;
2016-03-18 16:00:00;0.00;-1144.00;-5742.00;2.00;-1297.00;2828.00;4557.00;0;
2016-03-19 00:00:00;46.00;105099.00;133584.00;16242.00;533984.00;926496.00;108141.00;0;
2016-03-19 08:00:00;541.00;467605.00;639027.00;42515.00;1106190.00;3137168.00;1366335.00;0;
2016-03-19 16:00:00;0.00;-926.00;-8963.00;2.00;-876.00;5078.00;5777.00;0;
2016-03-20 00:00:00;53.00;113685.00;148120.00;17266.00;533780.00;987842.00;117968.00;0;
2016-03-20 08:00:00;956.00;643182.00;939241.00;63216.00;1659246.00;4813865.00;2254678.00;0;
2016-03-20 16:00:00;0.00;-881.00;-5862.00;7.00;-1031.00;2824.00;6571.00;0;
2016-03-21 00:00:00;0.00;68748.00;89179.00;4646.00;119188.00;230760.00;191359.00;0;
2016-03-21 08:00:00;334.00;444232.00;700563.00;33052.00;1105486.00;2527628.00;1915384.00;0;
2016-03-21 16:00:00;0.00;-951.00;-4667.00;8.00;-900.00;2044.00;7465.00;0;
2016-03-22 00:00:00;90.00;132940.00;186909.00;17669.00;533575.00;1013318.00;124664.00;0;
2016-03-22 08:00:00;982.00;784040.00;1153760.00;60620.00;1805383.00;5025233.00;2682217.00;0;
2016-03-22 16:00:00;0.00;-910.00;-4232.00;16.00;-1026.00;1841.00;14367.00;0;
2016-03-23 00:00:00;18.00;108058.00;143908.00;9574.00;270470.00;510436.00;169935.00;0;
2016-03-23 08:00:00;1139.00;572041.00;942115.00;52676.00;1272674.00;3501147.00;1909522.00;0;
2016-03-23 16:00:00;0.00;-732.00;-2965.00;55.00;-798.00;2390.00;7197.00;0;
