Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2016-04-08 16:00:00;62205;1360;37596;124;1590;9635;83100;0;
2016-04-09 00:00:00;1639018;51117;811997;2480;70276;90754;95735;0;
2016-04-09 08:00:00;12894300;562750;6588754;27452;693675;1565035;1093677;0;
2016-04-09 16:00:00;94027;1957;53636;162;2012;9443;59687;0;
2016-04-10 00:00:00;4976835;218789;2028358;13958;323941;652311;128470;0;
2016-04-10 08:00:00;19664348;939361;10025009;56327;1240448;3263700;1004606;0;
2016-04-10 16:00:00;118076;1285;57906;190;3076;10926;60728;0;
2016-04-11 00:00:00;7527737;336922;2455724;23989;734211;1076430;135117;0;
2016-04-11 08:00:00;23861153;1285814;13359900;72032;1847155;4330443;2904110;0;
2016-04-11 16:00:00;59393;1256;49308;129;1206;9939;149148;0;
2016-04-12 00:00:00;4328296;167676;1994127;8673;252356;389500;217317;0;
2016-04-12 08:00:00;16006282;842490;9112689;46251;1218064;2497805;2523378;0;
2016-04-12 16:00:00;72660;2199;68218;258;2341;13203;260430;0;
2016-04-13 00:00:00;7551610;343011;2418211;4888;694945;1053371;131641;0;
2016-04-13 08:00:00;22420061;1170890;12251929;48468;1666302;3911164;2519106;0;
2016-04-13 16:00:00;142393;4213;106805;428;5355;21445;283297;0;
2016-04-14 00:00:00;6294740;252012;2117814;12432;569036;576634;142798;0;
2016-04-14 08:00:00;17190458;804685;9011460;39122;1084408;2424317;1798193;0;
2016-04-14 16:00:00;307545;9314;169007;885;14071;27279;106569;0;
2016-04-15 00:00:00;8045941;364197;2742208;16077;759969;1090627;159306;0;
2016-04-15 08:00:00;21488379;1117333;11922791;49509;1551978;3557021;2608332;0;
2016-04-15 16:00:00;165287;5567;120271;498;5335;23326;281880;0;
2016-04-16 00:00:00;7684873;350846;2725423;15699;642946;1027344;144797;0;
2016-04-16 08:00:00;20916232;1106251;11575581;47013;1526415;3443964;2492371;0;
2016-04-16 16:00:00;115652;3815;103324;384;4194;19502;332089;0;
2016-04-17 00:00:00;6243355;278120;2548241;13189;476152;789663;168590;0;
2016-04-17 08:00:00;13710193;629347;6890114;28729;803321;1987823;519024;0;
2016-04-17 16:00:00;12437;-1353;-1054;41;-714;2339;4769;0;
2016-04-18 00:00:00;4354424;179297;2001106;9945;251533;428179;174122;0;
2016-04-18 08:00:00;15911012;802402;8805130;37749;1080346;2268604;2023322;0;
2016-04-18 16:00:00;181863;3893;97317;546;7222;16497;77593;0;
2016-04-19 00:00:00;1217433;37275;606280;3221;52033;65292;68992;0;
2016-04-19 08:00:00;12056236;610809;6734247;29731;855084;1621782;2011009;0;
2016-04-19 16:00:00;106607;3933;110089;382;4487;22126;411270;0;
2016-04-20 00:00:00;2197235;73265;1096549;5628;91712;87294;97054;0;
2016-04-20 08:00:00;16127919;809525;8925775;45446;1124112;2213615;2542647;0;
2016-04-20 16:00:00;119084;1361;68954;306;2992;14650;98886;0;
2016-04-21 00:00:00;2224516;79515;1113731;5017;104248;137466;129806;0;
2016-04-21 08:00:00;11142615;480977;5817521;27590;616585;1055869;1178689;0;
2016-04-21 16:00:00;160815;2325;83370;393;3585;14957;105496;0;
2016-04-22 00:00:00;7066449;264482;2714789;16716;682072;714545;208146;0;
2016-04-22 08:00:00;23107831;1168985;12448133;66907;1559508;3489363;2344312;0;
2016-04-22 16:00:00;314016;8990;178301;787;15203;27244;155638;0;
2016-04-23 00:00:00;5859530;246273;2666758;14124;380440;607908;242628;0;
2016-04-23 08:00:00;17749993;853981;9336013;47600;1090804;2447618;1523144;0;
2016-04-23 16:00:00;244826;6822;146683;635;11654;23693;189165;0;
2016-04-24 00:00:00;6336122;222102;1994058;15057;602080;513426;200415;0;
2016-04-24 08:00:00;14496356;655136;7493863;36637;803967;1675740;1344104;0;
2016-04-24 16:00:00;241907;5028;117731;561;8110;14502;19631;0;
2016-04-25 00:00:00;2627878;96667;1287304;5921;128975;179971;152159;0;
2016-04-25 08:00:00;14187401;620634;7201663;34332;730305;1507936;1121835;0;
2016-04-25 16:00:00;165195;2808;76755;392;4244;9723;13725;0;
2016-04-26 00:00:00;2119520;71480;1050503;4772;93828;123323;123007;0;
2016-04-26 08:00:00;3923098;138634;1979115;8765;188703;226548;237925;0;
2016-04-26 16:00:00;26190;-1505;4641;72;-883;2956;4833;0;
2016-04-27 00:00:00;1033306;30765;515022;2363;44692;55073;60637;0;
2016-04-27 08:00:00;7343672;280209;3694515;15637;361906;495172;526769;0;
2016-04-27 16:00:00;340169;9540;189457;664;14141;28148;162962;0;
